================================================================================
功能性隐藏指令归类统计报告 (细粒度 Opcode)
================================================================================

总处理/确认隐藏指令数: 54,281,388
Type A (完全未定义): 6,097,123
Type B (格式不符): 48,184,265

--------------------------------------------------------------------------------
Opcode 归类结果 (已忽略条件码):
唯一 Opcode 数量: 7,214
--------------------------------------------------------------------------------

Opcode       | Instruction Name                                             | Count
0x00A2000E | STRHT                                                        | 1,439
0x0021000B | STRHT                                                        | 1,438
0x00360001 | LDRSBT                                                       | 1,437
0x00B60006 | LDRSBT                                                       | 1,437
0x00310006 | LDRSBT                                                       | 1,436
0x00A30007 | STRHT                                                        | 1,436
0x00360001 | LDRSHT                                                       | 1,434
0x00260005 | STRHT                                                        | 1,434
0x00A2000F | STRHT                                                        | 1,434
0x00A3000B | STRHT                                                        | 1,434
0x00320001 | LDRHT                                                        | 1,433
0x00B6000A | LDRHT                                                        | 1,433
0x00A1000B | STRHT                                                        | 1,433
0x0021000A | STRHT                                                        | 1,432
0x00A20006 | STRHT                                                        | 1,432
0x00B60009 | LDRHT                                                        | 1,431
0x00A1000F | STRHT                                                        | 1,431
0x0025000F | STRHT                                                        | 1,431
0x00210007 | STRHT                                                        | 1,430
0x0021000F | STRHT                                                        | 1,430
0x00A20008 | STRHT                                                        | 1,430
0x00360001 | LDRHT                                                        | 1,429
0x0031000D | LDRHT                                                        | 1,428
0x00B5000C | LDRSHT                                                       | 1,428
0x00A10009 | STRHT                                                        | 1,427
0x0024000F | STRHT                                                        | 1,427
0x00B60007 | LDRSBT                                                       | 1,426
0x0026000B | STRHT                                                        | 1,426
0x00A10005 | STRHT                                                        | 1,426
0x0021000E | STRHT                                                        | 1,425
0x00B5000D | LDRHT                                                        | 1,424
0x00A20009 | STRHT                                                        | 1,424
0x0030000E | LDRHT                                                        | 1,423
0x0031000E | LDRHT                                                        | 1,423
0x0031000A | LDRSHT                                                       | 1,423
0x00320001 | LDRSHT                                                       | 1,423
0x00A20007 | STRHT                                                        | 1,423
0x00B5000E | LDRSHT                                                       | 1,422
0x0026000E | STRHT                                                        | 1,422
0x00A30006 | STRHT                                                        | 1,422
0x00A3000C | STRHT                                                        | 1,422
0x00300008 | LDRSBT                                                       | 1,421
0x0026000F | STRHT                                                        | 1,421
0x0031000B | LDRSHT                                                       | 1,420
0x00B60008 | LDRHT                                                        | 1,420
0x0026000A | STRHT                                                        | 1,420
0x0031000D | LDRSHT                                                       | 1,419
0x00A30008 | STRHT                                                        | 1,419
0x00300007 | LDRSHT                                                       | 1,418
0x0030000D | LDRSBT                                                       | 1,418
0x0031000B | LDRHT                                                        | 1,418
0x0036000E | LDRSBT                                                       | 1,418
0x00B6000B | LDRSBT                                                       | 1,418
0x00A10004 | STRHT                                                        | 1,418
0x00350008 | LDRHT                                                        | 1,417
0x00B50007 | LDRSHT                                                       | 1,417
0x00B6000F | LDRSBT                                                       | 1,417
0x00B6000F | LDRHT                                                        | 1,417
0x00B6000C | LDRSHT                                                       | 1,417
0x00260006 | STRHT                                                        | 1,417
0x0026000D | STRHT                                                        | 1,417
0x00A1000C | STRHT                                                        | 1,417
0x0025000A | STRHT                                                        | 1,417
0x00B50008 | LDRSHT                                                       | 1,416
0x00B5000D | LDRSBT                                                       | 1,416
0x0030000C | LDRSBT                                                       | 1,415
0x0036000D | LDRSBT                                                       | 1,415
0x00B50008 | LDRSBT                                                       | 1,415
0x00B50009 | LDRSBT                                                       | 1,415
