运行统计报告
运行时间: Thu Jun 26 11:41:07 2025
总耗时: 4668.18秒
并行进程数: 20
成功任务: 256/256
失败任务: 0/256
平均单任务耗时: 351.60秒

详细结果:
第237轮: 成功, 耗时: 359.21秒
第238轮: 成功, 耗时: 407.25秒
第239轮: 成功, 耗时: 244.10秒
第240轮: 成功, 耗时: 257.73秒
第241轮: 成功, 耗时: 421.87秒
第242轮: 成功, 耗时: 482.84秒
第243轮: 成功, 耗时: 523.95秒
第244轮: 成功, 耗时: 457.99秒
第245轮: 成功, 耗时: 268.14秒
第246轮: 成功, 耗时: 347.51秒
第247轮: 成功, 耗时: 342.96秒
第248轮: 成功, 耗时: 245.86秒
第249轮: 成功, 耗时: 266.79秒
第250轮: 成功, 耗时: 236.97秒
第251轮: 成功, 耗时: 233.44秒
第252轮: 成功, 耗时: 312.36秒
第253轮: 成功, 耗时: 325.17秒
第254轮: 成功, 耗时: 266.42秒
第255轮: 成功, 耗时: 223.62秒
